contest,input_specification,letter,main_text,memory_limit,output_specification,tags,time_limit,title
105,The first line contains three integers n k and A 1 n k 8 1 A 9999 Then n lines follow The i-th of them contains two numbers bi and li the i-th senator s level and his loyalty The levels of all senators are integers in range from 1 to 9999 inclusive The loyalties of all senators are integers in range from 0 to 100 inclusive and all of them are divisible by 10,B,Dark Assembly is a governing body in the Netherworld Here sit the senators who take the most important decisions for the player For example to expand the range of the shop or to improve certain characteristics of the character the Dark Assembly s approval is needed The Dark Assembly consists of n senators Each of them is characterized by his level and loyalty to the player The level is a positive integer which reflects a senator s strength Loyalty is the probability of a positive decision in the voting which is measured as a percentage with precision of up to 10 Senators make decisions by voting Each of them makes a positive or negative decision in accordance with their loyalty If strictly more than half of the senators take a positive decision the player s proposal is approved If the player s proposal is not approved after the voting then the player may appeal against the decision of the Dark Assembly To do that player needs to kill all the senators that voted against there s nothing wrong in killing senators they will resurrect later and will treat the player even worse The probability that a player will be able to kill a certain group of senators is equal to A A B where A is the sum of levels of all player s characters and B is the sum of levels of all senators in this group If the player kills all undesired senators then his proposal is approved Senators are very fond of sweets They can be bribed by giving them candies For each received candy a senator increases his loyalty to the player by 10 It s worth to mention that loyalty cannot exceed 100 The player can take no more than k sweets to the courtroom Candies should be given to the senators before the start of voting Determine the probability that the Dark Assembly approves the player s proposal if the candies are distributed among the senators in the optimal way,256 megabytes,Print one real number with precision 10 - 6 the maximal possible probability that the Dark Assembly approves the player s proposal for the best possible distribution of candies among the senators,['brute force'/ 'probabilities'],2 seconds,B Dark Assembly
105,The first line contains number n 3 n 100 representing how many items Laharl has Then follow n lines Each line contains description of an item The description has the following form name class atk def res size the item s name class basic attack defense and resistance parameters and its size correspondingly name and class are strings and atk def res and size are integers name consists of lowercase Latin letters and its length can range from 1 to 10 inclusive class can be weapon armor or orb 0 atk def res 1000 1 size 10 It is guaranteed that Laharl has at least one item of each class The next line contains an integer k 1 k 1000 the number of residents Then k lines follow Each of them describes a resident A resident description looks like name type bonus home the resident s name his type the number of points the resident adds to the item s corresponding parameter and the name of the item which currently contains the resident name type and home are strings and bonus is an integer name consists of lowercase Latin letters and its length can range from 1 to 10 inclusive type may be gladiator sentry or physician 1 bonus 100 It is guaranteed that the number of residents in each item does not exceed the item s size The names of all items and residents are pairwise different All words and numbers in the input are separated by single spaces,C,Each item in the game has a level The higher the level is the higher basic parameters the item has We shall consider only the following basic parameters attack atk defense def and resistance to different types of impact res Each item belongs to one class In this problem we will only consider three of such classes weapon armor orb Besides there s a whole new world hidden inside each item We can increase an item s level travelling to its world We can also capture the so-called residents in the Item WorldResidents are the creatures that live inside items Each resident gives some bonus to the item in which it is currently located We will only consider residents of types gladiator who improves the item s atk sentry who improves def and physician who improves res Each item has the size parameter The parameter limits the maximum number of residents that can live inside an item We can move residents between items Within one moment of time we can take some resident from an item and move it to some other item if it has a free place for a new resident We cannot remove a resident from the items and leave outside any of them should be inside of some item at any moment of time Laharl has a certain number of items He wants to move the residents between items so as to equip himself with weapon armor and a defensive orb The weapon s atk should be largest possible in the end Among all equipping patterns containing weapon s maximum atk parameter we should choose the ones where the armor s def parameter is the largest possible Among all such equipment patterns we should choose the one where the defensive orb would have the largest possible res parameter Values of the parameters def and res of weapon atk and res of armor and atk and def of orb are indifferent for Laharl Find the optimal equipment pattern Laharl can get,256 megabytes,Print on the first line the name of the weapon in the optimal equipping pattern then print the number of residents the weapon contains then print the residents names Print on the second and third lines in the same form the names of the armor and defensive orb as well as the residents they contain Use single spaces for separation If there are several possible solutions print any of them,['brute force'/ 'implementation'/ 'sortings'],2 seconds,C Item World
105,The first line contains two integers n and m 1 n m 300 the height and the width of the map in cells Then follow n line each of them contains m numbers the Geo Panels colors Then follow n more lines each of them contains m numbers the Geo Symbols description -1 means that the given position contains no Geo Symbol Otherwise the number represents the color of the Geo Symbol in the given position All colors are integers from 0 to 109 0 represents the transparent color The last line contains two integers x and y 1 x n 1 y m the row and the column where the Geo Symbol is placed that needs to be eliminated The rows are numbered from top to bottom the columns are numbered from left to right Coordinates are 1-based It is guaranteed that the position with coordinates x y contains a Geo Symbol,D,The maps in the game are divided into square cells called Geo Panels Some of these panels are painted We shall assume that the Geo Panels without color are painted the transparent color Besides the map has so-called Geo Symbols They look like pyramids of different colors including Geo Symbols of the transparent color Each Geo Symbol is located on one Geo Panel and each Geo Panel may contain no more than one Geo Symbol Geo Symbols can be eliminated To understand better what happens when a Geo Symbol is eliminated let us introduce some queue to which we will put the recently eliminated Geo Symbols Let s put at the head of the queue a Geo Symbol that was eliminated just now Next we will repeat the following operation Extract the Geo Symbol from the queue Look at the color of the panel containing the given Geo Symbol If it differs from transparent and differs from the color of the Geo Symbol then all Geo Panels of this color are repainted in the color of the given Geo Symbol transparent Geo Symbols repaint the Geo Panels transparent Repainting is executed in an infinite spiral strictly in the following order starting from the panel which contained the Geo Symbol In other words we select all the panels that need to be repainted and find their numbers in the infinite spiral whose center is placed in the position of the given Geo Symbol After that we repaint them in the order of the number s increasing If a panel contains another Geo Symbol and this panel is being repainted then the Geo Symbol is removed from the field and placed at the tail of the queue After repainting the Geo Symbol is completely eliminated and the next Geo Symbol is taken from the head of the queue if there is any and the process repeats The process ends if the queue is empty See the sample analysis for better understanding You know the colors of all the Geo Panels and the location of all the Geo Symbols Determine the number of repaintings which will occur if you destroy one of the Geo Symbols,256 megabytes,Print the single number the total number of repaintings after the Geo Symbol is eliminated Please do not use the lld specificator to read or write 64-bit integers in C It is preferred to use the cout stream you may also use the I64d specificator,['brute force'/ 'dsu'/ 'implementation'],1 second,D Entertaining Geodetics
105,The first line contains three integers Laharl s position his movement range and throwing range The second and the third lines describe Etna s and Flonne s parameters correspondingly in the similar form It is guaranteed that the three characters occupy distinct positions All numbers in the input are between 1 and 10 inclusive,E,You are given a straight half-line divided into segments of unit length which we will call positions The positions are numbered by positive integers that start with 1 from the end of half-line i e 1 2 3 and so on The distance between the positions is the absolute difference between the respective numbers Laharl Etna and Flonne occupy some positions on the half-line and they want to get to the position with the largest possible number They are originally placed in different positions Each of the characters can perform each of the following actions no more than once Move a certain distance Grab another character and lift him above the head Throw the lifted character a certain distance Each character has a movement range parameter They can only move to free positions assuming that distance between those positions doesn t exceed the movement range One character can lift another character if the distance between the two characters equals 1 and no one already holds that another character We can assume that the lifted character moves to the same position as the person who has lifted him and the position in which he stood before becomes free A lifted character cannot perform any actions and the character that holds him cannot walk Also each character has a throwing range parameter It is the distance at which this character can throw the one lifted above his head He can only throw a character to a free position and only when there is a lifted character We accept the situation when one person grabs another one who in his turn has the third character in his hands This forms a column of three characters For example Laharl can hold Etna while Etna holds Flonne In this case Etna and the Flonne cannot perform any actions and Laharl can only throw Etna together with Flonne at some distance Laharl Etna and Flonne perform actions in any order They perform actions in turns that is no two of them can do actions at the same time Determine the maximum number of position at least one of the characters can reach That is such maximal number x so that one of the characters can reach position x,256 megabytes,Print a single number the maximum ordinal number of position which either Laharl Etna or Flonne can reach,['brute force'],1 5 seconds,E Lift and Throw
106,The first line contains the tramp suit It is S H D or C The second line contains the description of the two different cards Each card is described by one word consisting of two symbols The first symbol stands for the rank 6 7 8 9 T J Q K and A and the second one stands for the suit S H D and C,A,There is a card game called Durak which means Fool in Russian The game is quite popular in the countries that used to form USSR The problem does not state all the game s rules explicitly you can find them later yourselves if you want To play durak you need a pack of 36 cards Each card has a suit S H D and C and a rank in the increasing order 6 7 8 9 T J Q K and A At the beginning of the game one suit is arbitrarily chosen as trump The players move like that one player puts one or several of his cards on the table and the other one should beat each of them with his cards A card beats another one if both cards have similar suits and the first card has a higher rank then the second one Besides a trump card can beat any non-trump card whatever the cards ranks are In all other cases you can not beat the second card with the first one You are given the trump suit and two different cards Determine whether the first one beats the second one or not,256 megabytes,Print YES without the quotes if the first cards beats the second one Otherwise print NO also without the quotes,['implementation'],2 seconds,A Card Game
106,The first line contains number n 1 n 100 Then follow n lines Each describes a laptop as speed ram hdd cost Besides speed ram hdd and cost are integers 1000 speed 4200 is the processor s speed in megahertz 256 ram 4096 the RAM volume in megabytes 1 hdd 500 is the HDD in gigabytes 100 cost 1000 is price in tugriks All laptops have different prices,B,Vasya is choosing a laptop The shop has n laptops to all tastes Vasya is interested in the following properties processor speed ram and hdd Vasya is a programmer and not a gamer which is why he is not interested in all other properties If all three properties of a laptop are strictly less than those properties of some other laptop then the first laptop is considered outdated by Vasya Among all laptops Vasya does not consider outdated he chooses the cheapest one There are very many laptops which is why Vasya decided to write a program that chooses the suitable laptop However Vasya doesn t have his own laptop yet and he asks you to help him,256 megabytes,Print a single number the number of a laptop Vasya will choose The laptops are numbered with positive integers from 1 to n in the order in which they are given in the input data,['brute force'/ 'implementation'],2 seconds,B Choosing Laptop
106,The first line contains 4 integers n m c0 and d0 1 n 1000 1 m 10 1 c0 d0 100 Each of the following m lines contains 4 integers The i-th line contains numbers ai bi ci and di 1 ai bi ci di 100,C,Lavrenty a baker is going to make several buns with stuffings and sell them Lavrenty has n grams of dough as well as m different stuffing types The stuffing types are numerated from 1 to m Lavrenty knows that he has ai grams left of the i-th stuffing It takes exactly bi grams of stuffing i and ci grams of dough to cook a bun with the i-th stuffing Such bun can be sold for di tugriks Also he can make buns without stuffings Each of such buns requires c0 grams of dough and it can be sold for d0 tugriks So Lavrenty can cook any number of buns with different stuffings or without it unless he runs out of dough and the stuffings Lavrenty throws away all excess material left after baking Find the maximum number of tugriks Lavrenty can earn,256 megabytes,Print the only number the maximum number of tugriks Lavrenty can earn,['chinese remainder theorem'/ 'geometry'],2 seconds,C Buns
106,The first line contains two integers n and m 3 n m 1000 Then follow n lines containing m integers each the island map s description stands for the sea It is guaranteed that all cells along the rectangle s perimeter are the sea stands for a penetrable square without any sights and the sights are marked with uppercase Latin letters from A to Z Not all alphabet letters can be used However it is guaranteed that at least one of them is present on the map All local sights are marked by different letters The next line contains number k 1 k 105 after which k lines follow Each line describes an instruction Each instruction possesses the form dir len where dir stands for the direction and len stands for the length of the way to walk dir can take values N S W and E for North South West and East correspondingly At that north is to the top South is to the bottom west is to the left and east is to the right len is an integer from 1 to 1000,D,Our brave travelers reached an island where pirates had buried treasure However as the ship was about to moor the captain found out that some rat ate a piece of the treasure map The treasure map can be represented as a rectangle n m in size Each cell stands for an islands square the square s side length equals to a mile Some cells stand for the sea and they are impenetrable All other cells are penetrable i e available and some of them contain local sights For example the large tree on the hills or the cave in the rocks Besides the map also has a set of k instructions Each instruction is in the following form Walk n miles in the y direction The possible directions are north south east and west If you follow these instructions carefully you should fulfill all of them one by one then you should reach exactly the place where treasures are buried Unfortunately the captain doesn t know the place where to start fulfilling the instructions as that very piece of the map was lost But the captain very well remembers that the place contained some local sight Besides the captain knows that the whole way goes through the island s penetrable squares The captain wants to know which sights are worth checking He asks you to help him with that,256 megabytes,Print all local sights that satisfy to the instructions as a string without any separators in the alphabetical order If no sight fits print no solution without the quotes,['brute force'/ 'implementation'],2 seconds,D Treasure Island
106,The first line of the input file contains integer n the number of planets 1 N 100 Each of the following n lines contains information about the planets The i-th line contains three integers xi yi zi the coordinates of the i-th planet - 104 xi yi zi 104 1 i n No two planets coincide,E,The Galaxy contains n planets there are many different living creatures inhabiting each planet And each creature can get into troubles Space rescuers know it perfectly well and they are always ready to help anyone who really needs help All you need to do is call for them Now the space rescuers plan to build the largest in the history of the Galaxy rescue station however the rescue station s location is yet to be determined As some cases are real emergencies the rescuers want to find such a point in the Galaxy from which it would be possible to get to the remotest planet in the minimum possible time In other words the rescuers need such point in the space that the distance between it and the planet remotest from it was minimal if we compare this point with all other possible points in the space Unfortunately the rescuers can t sole this problem As the planets are quite remote from each other they can be considered as points in Euclidean three-dimensional space The distance between points xi yi zi and xj yj zj can be calculated by the formula The rescue station can be positioned in any point in the space It can also coincide with some planet Galaxy is in danger Save the space rescuers and find the required point for them,256 megabytes,Print on the first line of the output file three space-separated real numbers x0 y0 z0 the coordinates for the future base If there are several solutions you are allowed to print any of them The answer will be accepted if the distance from this point to the remotest planet will differ from the juries variant in no more than 10 - 6 in absolute or relative value,['geometry'/ 'ternary search'],2 seconds,E Space Rescuers
107,The first line contains two space-separated integers n and p 1 n 1000 0 p n the number of houses and the number of pipes correspondingly Then p lines follow the description of p pipes The i-th line contains three integers ai bi di indicating a pipe of diameter di going from house ai to house bi 1 ai bi n ai bi 1 di 106 It is guaranteed that for each house there is at most one pipe going into it and at most one pipe going out of it,A,The German University in Cairo GUC dorm houses are numbered from 1 to n Underground water pipes connect these houses together Each pipe has certain direction water can flow only in this direction and not vice versa and diameter which characterizes the maximal amount of water it can handle For each house there is at most one pipe going into it and at most one pipe going out of it With the new semester starting GUC student and dorm resident Lulu wants to install tanks and taps at the dorms For every house with an outgoing water pipe and without an incoming water pipe Lulu should install a water tank at that house For every house with an incoming water pipe and without an outgoing water pipe Lulu should install a water tap at that house Each tank house will convey water to all houses that have a sequence of pipes from the tank to it Accordingly each tap house will receive water originating from some tank house In order to avoid pipes from bursting one week later like what happened last semester Lulu also has to consider the diameter of the pipes The amount of water each tank conveys should not exceed the diameter of the pipes connecting a tank to its corresponding tap Lulu wants to find the maximal amount of water that can be safely conveyed from each tank to its corresponding tap,256 megabytes,Print integer t in the first line the number of tank-tap pairs of houses For the next t lines print 3 integers per line separated by spaces tanki tapi and diameteri where tanki tapi 1 i t Here tanki and tapi are indexes of tank and tap houses respectively and diameteri is the maximum amount of water that can be conveyed All the t lines should be ordered increasingly by tanki,['dfs and similar'/ 'graphs'],1 second,A Dorm Water Supply
107,The first line contains three integers n m and h 1 n 100 1 m 1000 1 h m the number of players on the team the number of departments in GUC and Herr Wafa s department correspondingly The second line contains a single-space-separated list of m integers si 1 si 100 denoting the number of students in the i-th department Note that sh includes Herr Wafa,B,As a German University in Cairo GUC student and a basketball player Herr Wafa was delighted once he heard the news GUC is finally participating in the Annual Basketball Competition ABC A team is to be formed of n players all of which are GUC students However the team might have players belonging to different departments There are m departments in GUC numbered from 1 to m Herr Wafa s department has number h For each department i Herr Wafa knows number si how many students who play basketball belong to this department Herr Wafa was also able to guarantee a spot on the team using his special powers But since he hates floating-point numbers he needs your help at finding the probability that he will have at least one teammate belonging to his department Note that every possible team containing Herr Wafa is equally probable Consider all the students different from each other,256 megabytes,Print the probability that Herr Wafa will have at least one teammate from his department If there is not enough basketball players in GUC to participate in ABC print -1 The answer will be accepted if it has absolute or relative error not exceeding 10 - 6,['combinatorics'/ 'dp'/ 'probabilities'],1 second,B Basketball Team
107,The first line contains three integers n y and m 1 n 16 2001 y 1018 0 m 100 the number of professors the year for which the arrangement should be computed and the number of pairs of seats for which the seniority relation should be kept respectively The next m lines contain one pair of integers each ai bi indicating that professor on the ai-th seat is more senior than professor on the bi-th seat 1 ai bi n ai bi Some pair may be listed more than once Please do not use the lld specificator to read or write 64-bit integers in It is preferred to use the cin stream you may also use the I64d specificator,C,In the year 2500 the annual graduation ceremony in the German University in Cairo GUC has run smoothly for almost 500 years so far The most important part of the ceremony is related to the arrangement of the professors in the ceremonial hall Traditionally GUC has n professors Each professor has his seniority level All seniorities are different Let s enumerate the professors from 1 to n with 1 being the most senior professor and n being the most junior professor The ceremonial hall has n seats one seat for each professor Some places in this hall are meant for more senior professors than the others More specifically m pairs of seats are in senior-junior relation and the tradition requires that for all m pairs of seats ai bi the professor seated in senior position ai should be more senior than the professor seated in junior position bi GUC is very strict about its traditions which have been carefully observed starting from year 2001 The tradition requires that The seating of the professors changes every year Year 2001 ceremony was using lexicographically first arrangement of professors in the ceremonial hall Each consecutive year lexicographically next arrangement of the professors is used The arrangement of the professors is the list of n integers where the first integer is the seniority of the professor seated in position number one the second integer is the seniority of the professor seated in position number two etc Given n the number of professors y the current year and m pairs of restrictions output the arrangement of the professors for this year,256 megabytes,Print the order in which the professors should be seated in the requested year If by this year the GUC would have ran out of arrangements or the given senior-junior relation are contradictory print The times have changed without quotes,['bitmasks'/ 'dp'],2 seconds,C Arrangement
107,The first line contains two integers n and c 0 n 1018 0 c 1000 the number of crimes Zeyad would like to commit and the number of conditions he is aware of Then the definitions for c conditions follow There are 26 types of crimes Each crime definition consists of crime type a capital Latin letter and its multiplicity The multiplicity of each crime is a positive integer number and the product of all multiplicities does not exceed 123 Some conditions may be repeated in the input more than once Crime of multiplicity 1 is not yielding any punishment regardless of the number of times it was committed The strictness of the law is compensated by the fact that it s non-mandatory Obviously if some crime is not listed in the set of conditions then Zeyad will not consider it as committing it would unavoidably lead to the punishment Please do not use the lld specificator to read or write 64-bit integers in It is preferred to use the cin stream you may also use the I64d specificator,D,Zeyad wants to commit n crimes in Egypt and not be punished at the end There are several types of crimes For example bribery is a crime but is not considered such when repeated twice Therefore bribery is not considered a crime when repeated an even number of times Speeding is a crime but is not considered such when repeated a number of times which is a multiple of five More specifically c conditions on crime repetitions are known Each condition describes the crime type ti and its multiplicity mi If the number of times Zeyad committed the crime ti is a multiple of mi Zeyad will not be punished for crime ti Some crimes may be listed more than once In this case fulfilling at least one condition for this crime is enough to not be punished for it Of course if for certain crime the number of times Zeyad committed it is zero he is innocent with respect to this crime Now Zeyad is interested in a number of ways he can commit exactly n crimes without any punishment The order of commiting the crimes matters More formally two ways sequences w1 and w2 of committing n crimes are equal if w1i w2i for all 1 i n,256 megabytes,Output the number of different ways Zeyad can commit exactly n crimes with no punishment modulo 12345,['dp'/ 'matrices'],5 seconds,D Crime Management
107,The first line of input contains integer n 1 n 500 the number of photos on the wall Then follow n lines describing the photos each containing 8 single-space-separated integers coordinates of 4 vertices x1 y1 x2 y2 x3 y3 x4 y4 Each photo is a rectangle with a nonzero area The coordinates are integers not exceeding 104 by absolute value The coordinates of the rectangle are given in either clockwise or counterclockwise order,E,The night after the graduation ceremony graduate students of German University in Cairo GUC are playing darts As there s no real dart board available the photographs of members of the GUC upper management are being used So n rectangular photos are placed on the wall They can overlap arbitrary and even coincide The photos are not necessarily placed horizontally or vertically they could also be rotated before being pinned to the wall The score of one dart throw is simply the number of photos the dart went through Fatma has made a throw but her score was not recorded She only remembers that she did make it into at least one photo Assuming that the probability distribution of the throw is equal across the whole wall what would be the expectation of Fatma s score,256 megabytes,Print the expected score of the throw The answer will be accepted if it has absolute or relative error not exceeding 10 - 6,['geometry'/ 'probabilities'],5 seconds,E Darts
108,The first and only line of the input starts with a string with the format HH MM where HH is from 00 to 23 and MM is from 00 to 59 Both HH and MM have exactly two digits,A,Tattah is asleep if and only if Tattah is attending a lecture This is a well-known formula among Tattah s colleagues On a Wednesday afternoon Tattah was attending Professor HH s lecture At 12 21 right before falling asleep he was staring at the digital watch around Saher s wrist He noticed that the digits on the clock were the same when read from both directions i e a palindrome In his sleep he started dreaming about such rare moments of the day when the time displayed on a digital clock is a palindrome As soon as he woke up he felt destined to write a program that finds the next such moment However he still hasn t mastered the skill of programming while sleeping so your task is to help him,256 megabytes,Print the palindromic time of day that comes soonest after the time given in the input If the input time is palindromic output the soonest palindromic time after the input time,['implementation'/ 'strings'],2 seconds,A Palindromic Times
108,The first line contains integer n 2 n 105 the number of Gava s unsigned integer datatypes sizes The second line contains a single-space-separated list of n integers 1 ai 109 sizes of datatypes in bits Some datatypes may have equal sizes,B,Tattah s youngest brother Tuftuf is new to programming Since his older brother is such a good programmer his biggest dream is to outshine him Tuftuf is a student at the German University in Cairo GUC where he learns to write programs in Gava Today Tuftuf was introduced to Gava s unsigned integer datatypes Gava has n unsigned integer datatypes of sizes in bits a1 a2 an The i-th datatype have size ai bits so it can represent every integer between 0 and 2ai - 1 inclusive Tuftuf is thinking of learning a better programming language If there exists an integer x such that x fits in some type i in ai bits and x x does not fit in some other type j in aj bits where ai aj then Tuftuf will stop using Gava Your task is to determine Tuftuf s destiny,256 megabytes,Print YES if Tuftuf will stop using Gava and NO otherwise,['math'/ 'sortings'],2 seconds,B Datatypes
109,The single line contains an integer n 1 n 106 the sum of digits of the required lucky number,A,Petya loves lucky numbers We all know that lucky numbers are the positive integers whose decimal representations contain only the lucky digits 4 and 7 For example numbers 47 744 4 are lucky and 5 17 467 are not Petya wonders eagerly what minimum lucky number has the sum of digits equal to n Help him cope with the task,256 megabytes,Print on the single line the result the minimum lucky number whose sum of digits equals n If such number does not exist print -1,['brute force'/ 'implementation'],2 seconds,A Lucky Sum of Digits
109,The single line contains five integers pl pr vl vr and k 1 pl pr 109 1 vl vr 109 1 k 1000,B,Petya loves lucky numbers We all know that lucky numbers are the positive integers whose decimal representations contain only the lucky digits 4 and 7 For example numbers 47 744 4 are lucky and 5 17 467 are not Petya and his friend Vasya play an interesting game Petya randomly chooses an integer p from the interval pl pr and Vasya chooses an integer v from the interval vl vr also randomly Both players choose their integers equiprobably Find the probability that the interval min v p max v p contains exactly k lucky numbers,256 megabytes,On the single line print the result with an absolute error of no more than 10 - 9,['brute force'/ 'probabilities'],2 seconds,B Lucky Probability
109,The first line contains the single integer n 1 n 105 the number of tree vertexes Next n - 1 lines contain three integers each ui vi wi 1 ui vi n 1 wi 109 the pair of vertexes connected by the edge and the edge s weight,C,Petya loves lucky numbers We all know that lucky numbers are the positive integers whose decimal representations contain only the lucky digits 4 and 7 For example numbers 47 744 4 are lucky and 5 17 467 are not One day Petya encountered a tree with n vertexes Besides the tree was weighted i e each edge of the tree has weight a positive integer An edge is lucky if its weight is a lucky number Note that a tree with n vertexes is an undirected connected graph that has exactly n - 1 edges Petya wondered how many vertex triples i j k exists that on the way from i to j as well as on the way from i to k there must be at least one lucky edge all three vertexes are pairwise distinct The order of numbers in the triple matters that is the triple 1 2 3 is not equal to the triple 2 1 3 and is not equal to the triple 1 3 2 Find how many such triples of vertexes exist,256 megabytes,On the single line print the single number the answer Please do not use the lld specificator to read or write 64-bit numbers in It is recommended to use the cin cout streams or the I64d specificator,['dp'/ 'dsu'/ 'trees'],2 seconds,C Lucky Tree
109,The first line contains an integer n 1 n 105 the number of elements in the array The second line contains n positive integers not exceeding 109 the array that needs to be sorted in the non-decreasing order,D,Petya loves lucky numbers We all know that lucky numbers are the positive integers whose decimal representations contain only the lucky digits 4 and 7 For example numbers 47 744 4 are lucky and 5 17 467 are not Petya got an array consisting of n numbers it is the gift for his birthday Now he wants to sort it in the non-decreasing order However a usual sorting is boring to perform that s why Petya invented the following limitation one can swap any two numbers but only if at least one of them is lucky Your task is to sort the array according to the specified limitation Find any possible sequence of the swaps the number of operations in the sequence should not exceed 2n,256 megabytes,On the first line print number k 0 k 2n the number of the swaps in the sorting On the following k lines print one pair of distinct numbers a pair per line the indexes of elements to swap The numbers in the array are numbered starting from 1 If it is impossible to sort the given sequence print the single number -1 If there are several solutions output any Note that you don t have to minimize k Any sorting with no more than 2n swaps is accepted,['constructive algorithms'/ 'sortings'],3 seconds,D Lucky Sorting
109,The single line contains two integers a and l 1 a l 109 the interval s first number and the interval s length correspondingly,E,Petya loves lucky numbers We all know that lucky numbers are the positive integers whose decimal representations contain only the lucky digits 4 and 7 For example numbers 47 744 4 are lucky and 5 17 467 are not One day Petya came across an interval of numbers a a l - 1 Let F x be the number of lucky digits of number x Find the minimum b a b such that F a F b F a 1 F b 1 F a l - 1 F b l - 1,512 megabytes,On the single line print number b the answer to the problem,['brute force'/ 'math'],4 seconds,E Lucky Interval
11,The first line of the input contains two integer numbers n and d 2 n 2000 1 d 106 The second line contains space separated sequence b0 b1 bn - 1 1 bi 106,A,A sequence a0 a1 at - 1 is called increasing if ai - 1 ai for each i 0 i t You are given a sequence b0 b1 bn - 1 and a positive integer d In each move you may choose one element of the given sequence and add d to it What is the least number of moves required to make the given sequence increasing,64 megabytes,Output the minimal number of moves needed to make the sequence increasing,['constructive algorithms'/ 'implementation'/ 'math'],1 second,A Increasing Sequence
11,The input data consists of only one integer x - 109 x 109,B,Jack is working on his jumping skills recently Currently he s located at point zero of the number line He would like to get to the point x In order to train he has decided that he ll first jump by only one unit and each subsequent jump will be exactly one longer than the previous one He can go either left or right with each jump He wonders how many jumps he needs to reach x,64 megabytes,Output the minimal number of jumps that Jack requires to reach x,['math'],1 second,B Jumping Jack
11,The first line contains integer t 1 t 10000 where t is the number of test cases in the input Then test cases follow Each case starts with a line containing integers n and m 2 n m 250 where n is the number of rows and m is the number of columns The following n lines contain m characters each 0 or 1 The total number of characters in all test cases doesn t exceed 106 for any input file,C,You are given a 0-1 rectangular matrix What is the number of squares in it A square is a solid square frame border with linewidth equal to 1 A square should be at least 2 2 We are only interested in two types of squares squares with each side parallel to a side of the matrix squares with each side parallel to a diagonal of the matrix For example the following matrix contains only one square of the first type 0000000 0111100 0100100 0100100 0111100The following matrix contains only one square of the second type 00000000010000010100000100000000000Regardless of type a square must contain at least one 1 and can t touch by side or corner any foreign 1 Of course the lengths of the sides of each square should be equal How many squares are in the given matrix,64 megabytes,You should output exactly t lines with the answer to the i-th test case on the i-th line,['implementation'],2 seconds,C How Many Squares
11,The first line of input contains two integers n and m 1 n 19 0 m respectively the number of vertices and edges of the graph Each of the subsequent m lines contains two integers a and b 1 a b n a b indicating that vertices a and b are connected by an undirected edge There is no more than one edge connecting any pair of vertices,D,Given a simple graph output the number of simple cycles in it A simple cycle is a cycle with no repeated vertices or edges,256 megabytes,Output the number of cycles in the given graph,['bitmasks'/ 'dp'/ 'graphs'],2 seconds,D A Simple Task
11,The first line of input contains a sequence consisting only of characters L R and X where L corresponds to a step with the left foot R with the right foot and X to a break The length of the sequence will not exceed 106,E,Jack has become a soldier now Unfortunately he has trouble with the drill Instead of marching beginning with the left foot and then changing legs with each step as ordered he keeps repeating a sequence of steps in which he sometimes makes the wrong steps or horror of horrors stops for a while For example if Jack uses the sequence right left break when the sergeant yells Left Right Left Right Left Right Jack first makes a step with the right foot then one with the left foot then he is confused and stops for a moment then again - this time according to the order - starts with the right foot then uses the left foot then - to the sergeant s irritation - he stops to catch his breath to incorrectly start with the right foot again Marching this way Jack will make the step that he is supposed to in the given moment in only one third of cases When the officers convinced him he should do something about it Jack decided to modify the basic sequence of steps that he repeats However in order not to get too tired he has decided that the only thing he ll do is adding any number of breaks in any positions of the original sequence a break corresponds to stopping for the duration of one step Of course Jack can t make a step on the same foot twice in a row if there is no pause between these steps It is however not impossible that the sequence of steps he used so far is incorrect it would explain a lot actually Help Private Jack Given the sequence of steps he keeps repeating calculate the maximal percentage of time that he can spend marching correctly after adding some breaks to his scheme,64 megabytes,Output the maximum percentage of time that Jack can spend marching correctly rounded down to exactly six digits after the decimal point,['binary search'/ 'dp'/ 'greedy'],1 second,E Forward march
110,The only line contains an integer n 1 n 1018 Please do not use the lld specificator to read or write 64-bit numbers in It is preferred to use the cin cout streams or the I64d specificator,A,Petya loves lucky numbers We all know that lucky numbers are the positive integers whose decimal representations contain only the lucky digits 4 and 7 For example numbers 47 744 4 are lucky and 5 17 467 are not Unfortunately not all numbers are lucky Petya calls a number nearly lucky if the number of lucky digits in it is a lucky number He wonders whether number n is a nearly lucky number,256 megabytes,Print on the single line YES if n is a nearly lucky number Otherwise print NO without the quotes,['implementation'],2 seconds,A Nearly Lucky Number
